event,sector,mean_beta
COVID Crash,XLE,1.4035074748780225
COVID Crash,XLF,1.1446211920854394
COVID Crash,XLK,1.0934928405443423
COVID Crash,XLP,0.7390543812070922
COVID Crash,XLU,0.7257044859445506
COVID Crash,XLV,0.9048442060454193
COVID Crash,XLY,0.9891236988909373
Rate Hike,XLE,0.6814016933662149
Rate Hike,XLF,0.9792118181438159
Rate Hike,XLK,1.238676467341834
Rate Hike,XLP,0.6124689978934329
Rate Hike,XLU,0.6188846283440876
Rate Hike,XLV,0.6826493186566239
Rate Hike,XLY,1.308456820392415
SVB Crisis,XLE,0.8429598192134008
SVB Crisis,XLF,1.0065282068561594
SVB Crisis,XLK,1.2133851367796986
SVB Crisis,XLP,0.6379908803297634
SVB Crisis,XLU,0.7368272537576588
SVB Crisis,XLV,0.6372625960246048
SVB Crisis,XLY,1.2904974404050944
AI Rally,XLE,0.5006610538911374
AI Rally,XLF,0.8876361039045748
AI Rally,XLK,1.4000335526341625
AI Rally,XLP,0.3913809166916641
AI Rally,XLU,0.38958547989991404
AI Rally,XLV,0.5524542031913481
AI Rally,XLY,1.2620165058583945
